Prompt,Answer
0,"How old is Bill Clinton, please give just the decimal number",77
1,"What is the height of the Mont Everest, please give just the decimal number",8849
2,"What is the capital of Myanmar?",Naypyidaw
3,"What is the population of Switzerland, please answer just the 1 digit million number?",8
4,"What is the capital of Kuwait?",Kuwait City
5,"What is the capital of Bangladesh?",Dacca
6,"Where was Elon Musk born, just the city?",Pretoria
7,"How many Christopher Nolan movies are there?",12
8,"What is the population of Germany, only the two digit million?",83
9,"What is the capital of Japan?",Tokyo
