,Prompt,Answer
0,"How old is Barack Obama, please give just the decimal number",62
1,"What is the height of the Eiffel Tower, please give just the decimal number",300
2,What is the capital of France?,Paris
3,What is the population of China?,1443497378
4,What is the capital of Australia?,Canberra
5,What is the capital of Italy?,Rome
6,Where was Albert Einstein born?,Ulm
7,How many films have been directed by Steven Spielberg?,36
8,What is the population of India?,1326093247
9,What is the capital of Japan?,Tokyo
